"neo","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
Y,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,0.921,0.531,,S,S
Y,4.2,,0.31,28.41,,0.832,0.436,,,S
Y,37.675,,0.238,10.297,,0.842,0.417,,S,S
Y,1.0,,,,,,,,,
Y,1.0,,0.51,2.2726,,0.774,0.520,,,
Y,5.8,,0.08,6.1324,,0.656,0.249,,,C
Y,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S
Y,9.12,,0.15,4.795,,0.872,0.459,,S,S
Y,3.4,,0.31,10.1995,,0.880,0.470,,S,S
Y,1.5,,0.25,3.065,,0.819,0.481,,Q,Q
Y,2.1,,0.24,7.453,,0.763,0.359,,Sq,SU
Y,3.7,,0.273,8.572,,0.830,0.500,,Sr,SQ
Y,1.2,,0.22,6.8039,,0.790,0.442,,S,S
Y,8.48,,0.15,2.4,,,,,S,
Y,0.5,,0.21,4.9,,0.784,0.430,,,SMU
Y,3.5,,,3.4746,,0.852,0.407,,S,S
Y,5.7,,0.195,2.689,,,,,Sl,
Y,2.3,,0.17,2.86923,,0.841,0.444,,L,S
Y,4.3,,0.25,7.24612,,0.955,0.455,,Sl,SU
Y,3.4,,,5.22,,,,,V,
Y,2.6,,,6.712,,0.825,0.350,,,TCG:
Y,1.1,,0.26,42.15,,0.930,0.460,,Sr,S
Y,1.024,"1.11 x 0.53 x 0.50",0.203,14.904,,,,,Sq,
Y,2.3,,0.13,19.797,,0.712,0.310,,Xc,C
Y,0.6,,,,,,,,,
Y,1.649,,0.245,2.384,,,,,Q,
Y,1.80,,0.4328,26,,,,,Sq,
Y,5.7,,0.163,48,,0.766,0.397,,,SG
Y,0.3,,,3.35,,0.770,0.500,,Sq,CSU
Y,2.3,,0.27,5.9,,0.830,0.520,,,SQ
Y,0.9,,0.21,8,,0.826,0.454,,,S
Y,1.6,,,149.4,,0.834,0.521,,S,QRS
Y,1.5,,0.64,5.7103,,0.732,0.235,,Xe,
Y,4.9,,0.231,2.3581,,,,,S,
Y,2.2,,0.42,3.021,,0.895,0.418,,Sq,S
Y,6.25,,0.1066,3.604,,,,,B,F
Y,2.8,,0.22,75,,0.910,0.500,,K,S
Y,1.8,,0.17,,,,,,,
Y,0.3,,0.357,3.5327,,1.022,0.503,,,
Y,0.7,,0.21,,,,,,,
Y,0.9,,0.37,4.93,,0.839,0.481,,,V
Y,19.0,,0.03,6.665,,,,,D,D
Y,3.341,,0.074,2.53001,,0.707,0.235,,,
Y,1.5,,0.16,2.7053,,,,,Cb,
Y,4.3,,0.515,226.8,,,,,Xc,
Y,2.306,,0.210,37.846,,,,,,
Y,2.071,,0.365,27.3099,,,,,Q,
Y,0.5,,0.18,9.012,,0.859,0.522,,,S
Y,1.0,,0.23,4.42601,,,,,V,V
Y,0.7,,,10.4,,,,,,
Y,4,,0.05,3.5736,,0.666,0.279,,,CF
Y,0.42,,0.52,44.4,,,,,O,
Y,2.49,,0.31,7.475,,,,,V,V
Y,5.4,1.70x2.03x4.26,0.405,176.,,,,,Sk,
Y,3.651,,0.097,3.5595,,,,,Sq,
Y,1.8,,0.37,3.538,,,,,Sq,
Y,3.177,,0.054,6.262,,,,,O,
Y,1.801,,0.343,6.67,,,,,,
Y,1.849,"2.35 x 1.65 x 1.44",0.297,67.5,,,,,,
Y,1.3,,,37.65,,,,,,
Y,0.33,,0.55,15.1,,,,,Xe,
Y,0.6,,0.18,,,0.930,0.463,,V,QU
Y,1.4,,0.092,4.095,,,,,,
Y,10.8,,0.176,12.056,,,,,S,
Y,3.499,,0.132,2.892,,,,,S,
Y,4.843,,0.227,2.7063,,,,,O,
Y,3.6,,,5.803,,,,,,
Y,3.6,,0.037,,,,,,,
Y,0.935,,0.507,2.8233,,,,,,
Y,3.57,,0.32,5.0522,,,,,Sq,
Y,0.55,,0.48,5.3375,,,,,V,
Y,1.668,,0.121,30.39,,,,,,
Y,4.3,,0.223,3.1999,,,,,U,
Y,1.537,,0.271,4.834,,,,,,
Y,5.231,,0.031,,,,,,,
Y,2.3,,0.36,76,,,,,X,
Y,0.4,,,2.706,,,,,,
Y,1.457,,0.331,2.6666,,,,,Q,
Y,2.754,,0.156,4.9543,,,,,S,
Y,1.345,,0.488,5.867,,,,,,
Y,2.884,,0.257,5.7566,,,,,,
Y,3.720,,0.140,2.573,,,,,Sq,
Y,1.4,,0.21,48.6,,,,,,
Y,2.3,,0.15,3.5002,,0.677,0.267,,,
Y,4.626,,0.227,2.7361,,,,,S,
Y,0.53,,0.151,6.026,,,,,Q,
Y,1.408,,0.158,2.5568,,,,,V,
Y,0.498,,0.340,2.5057,,,,,,
Y,1.298,,0.260,2.679,,,,,,
Y,6.319,,0.046,,,,,,,
Y,1.8,,0.448,12,,,,,,
Y,0.982,,0.235,4.2096,,,,,Sq,
Y,1.921,,0.069,3.58264,,,,,,
Y,1.052,,0.277,2.5999,,,,,S,
Y,1.602,,0.075,2.3896,,,,,S,
Y,0.784,,0.181,,,,,,,
Y,2.298,,0.257,2.337,,,,,U,
Y,1.680,,0.452,2.741,,,,,V,
Y,2.3,,,8.4,,,,,,
Y,0.7,,,50.09,,,,,,
Y,1.859,,0.154,23.949,,,,,O,
Y,1.568,,0.217,4.849,,,,,U,
Y,2.928,,0.156,8.7573,,,,,,
Y,1.127,,0.088,15.13,,,,,,
Y,1.617,,0.332,,,,,,,
Y,3.698,,0.155,97.1,,,,,Sr,
Y,1.0,,0.3,3.045,,,,,,
Y,0.938,,0.318,7.319,,,,,S:,
Y,0.829,,0.372,,,,,,L,
Y,0.533,,0.645,9.876,,,,,,
Y,2.104,,0.190,8.4958,,,,,K,
Y,1.316,,0.318,38.6,,,,,Sr,
Y,3.621,,0.112,6.504,,,,,Sq,
Y,0.738,,0.142,73,,,,,S,
Y,1.298,,0.033,7.368,,,,,,
Y,1.663,,0.232,2.575,,,,,S:,
Y,2.060,,0.199,3.891,,,,,S:,
Y,0.562,,0.511,33.644,,,,,S,
Y,0.6,,0.14,2.261,,,,,C,
Y,0.9,,,,,0.684,0.492,,,
Y,4.106,,0.020,178.5,,,,,C,
Y,1.87,,0.22,9.345,,,,,S,
Y,2.885,,0.028,6.61,,,,,,
Y,1.819,,0.147,5.0638,,,,,,
Y,3.183,,0.037,16.495,,,,,Xk,
Y,0.91,,0.34,6.714,,,,,S,
Y,1.572,,0.342,59.263,,,,,,
Y,2.716,,0.199,2.7209,,,,,,
Y,3.687,,0.123,5.313,,,,,Sq,
Y,2.793,,0.206,11.23,,,,,,
Y,0.524,,0.444,6.334,,,,,S:,
Y,1.098,,0.640,6.9809,,,,,,
Y,0.866,,0.123,,,,,,,
